sentence,relation,entities,sentence_no_tags
"If a participant <e1>complaint</e1> is the source of an investigative <e2>lead</e2>, interim contact with the participant should be made by the investigator.",0,"['complaint', 'lead']","If a participant complaint is the source of an investigative lead, interim contact with the participant should be made by the investigator."
The <e1>violence</e1> has been caused by the Hutu <e2>militia</e2> who fled Rwanda after the genocide in that country and who have been in hiding in the forest in Congo.,1,"['violence', 'militia']",The violence has been caused by the Hutu militia who fled Rwanda after the genocide in that country and who have been in hiding in the forest in Congo.
The <e1>clock</e1> struck twelve with a loud <e2>chime</e2> that made me jump.,0,"['clock', 'chime']",The clock struck twelve with a loud chime that made me jump.
<e1>Signs</e1> placed at the flagpole island at the village square caused a <e2>stir</e2> on the Linglestown forum on PennLive.com.,0,"['Signs', 'stir']",Signs placed at the flagpole island at the village square caused a stir on the Linglestown forum on PennLive.com.
"Lena Basilone, a cook at Camp Pendleton, was in the hospital recovering from a severe kitchen <e1>burn</e1> after the <e2>spilling</e2> of scalding liquid on her feet.",1,"['burn', 'spilling']","Lena Basilone, a cook at Camp Pendleton, was in the hospital recovering from a severe kitchen burn after the spilling of scalding liquid on her feet."
Gross <e1>revenues</e1> from the <e2>selling</e2> of crude oil in 2003 reached US$11.508 billion or some 112.85 percent of the amount targeted in the 2003 state budget.,1,"['revenues', 'selling']",Gross revenues from the selling of crude oil in 2003 reached US$11.508 billion or some 112.85 percent of the amount targeted in the 2003 state budget.
"Whooping cough is another name for the pertussis, an <e1>infection</e1> of the airways caused by the <e2>bacteria</e2> bordetella pertussis.",1,"['infection', 'bacteria']","Whooping cough is another name for the pertussis, an infection of the airways caused by the bacteria bordetella pertussis."
"And it is why we are even prouder to announce that the appeal - thanks to the generosity of our readers - has raised 26,000 pounds, despite the <e1>hardship</e1> that has been caused by the <e2>recession</e2>.",1,"['hardship', 'recession']","And it is why we are even prouder to announce that the appeal - thanks to the generosity of our readers - has raised 26,000 pounds, despite the hardship that has been caused by the recession."
The <e1>problems</e1> are caused by buffer <e2>overflows</e2> when parsing an overly long parameter.,1,"['problems', 'overflows']",The problems are caused by buffer overflows when parsing an overly long parameter.
<e1>Discussion</e1> ensued from the Florida <e2>contingent</e2> on the fact that very stringent landowner protection laws in Florida make it imperative that the highest supportable appraised vallue be offered first.,1,"['Discussion', 'contingent']",Discussion ensued from the Florida contingent on the fact that very stringent landowner protection laws in Florida make it imperative that the highest supportable appraised vallue be offered first.
"We find the <e1>candle</e1> <e2>light</e2> creates a special atmosphere not only for food, but ambiance for a relaxing convivial meal as well.",0,"['candle', 'light']","We find the candle light creates a special atmosphere not only for food, but ambiance for a relaxing convivial meal as well."
"Symptoms vary according to the degree of <e1>inflammation</e1> caused by the <e2>bacteria</e2>, ranging from slightly loose stools to bloody diarrhea, abdominal pain, and fever.",1,"['inflammation', 'bacteria']","Symptoms vary according to the degree of inflammation caused by the bacteria, ranging from slightly loose stools to bloody diarrhea, abdominal pain, and fever."
High <e1>winds</e1> caused delays and <e2>cancellations</e2> of some state ferries.,0,"['winds', 'cancellations']",High winds caused delays and cancellations of some state ferries.
The front <e1>wheels</e1> are making a <e2>grinding noise</e2>.,0,"['wheels', 'grinding noise']",The front wheels are making a grinding noise.
Williams syndrome: a genetic <e1>disorder</e1> that results in selective cognitive <e2>impairment</e2>.,0,"['disorder', 'impairment']",Williams syndrome: a genetic disorder that results in selective cognitive impairment.
And the economic <e1>crisis</e1> was generated due to the sub-prime mortgage <e2>mess</e2> brought about through government intervention in the market to promote progressive ideals (ie extending loans to low-income borrowers).,1,"['crisis', 'mess']",And the economic crisis was generated due to the sub-prime mortgage mess brought about through government intervention in the market to promote progressive ideals (ie extending loans to low-income borrowers).
"By the late 1980s, however, the Bank was caught up in the debt <e1>crisis</e1> in the developing world caused by the <e2>recession</e2> and the dramatic rise in interest rates.",1,"['crisis', 'recession']","By the late 1980s, however, the Bank was caught up in the debt crisis in the developing world caused by the recession and the dramatic rise in interest rates."
The risks to housing and general corporate <e1>profits</e1> from <e2>inflation</e2> were quite clear and the defensive strategy over the long term has paid dividends.,1,"['profits', 'inflation']",The risks to housing and general corporate profits from inflation were quite clear and the defensive strategy over the long term has paid dividends.
There is relatively little <e1>discomfort</e1> from this <e2>surgery</e2> and most individuals rarely take more than Tylenol for their discomfort.,1,"['discomfort', 'surgery']",There is relatively little discomfort from this surgery and most individuals rarely take more than Tylenol for their discomfort.
"<e1>Fats</e1> from meat and dairy cause heart <e2>disease</e2>, the leading killer of people with diabetes.",0,"['Fats', 'disease']","Fats from meat and dairy cause heart disease, the leading killer of people with diabetes."
The <e1>contortions</e1> are caused by gravitational <e2>interactions</e2> with the small satellites Prometheus and Pandora.,1,"['contortions', 'interactions']",The contortions are caused by gravitational interactions with the small satellites Prometheus and Pandora.
"This <e1>smile</e1>, a true reflection of God's tenderness, is the source of an invincible <e2>hope</e2>.",0,"['smile', 'hope']","This smile, a true reflection of God's tenderness, is the source of an invincible hope."
"The <e1>earthquake</e1> caused a bulrush <e2>marsh</e2> at West Point, on the Puget Sound shore in Seattle, to drop and the tsunami deposited sand on top of the marsh.",0,"['earthquake', 'marsh']","The earthquake caused a bulrush marsh at West Point, on the Puget Sound shore in Seattle, to drop and the tsunami deposited sand on top of the marsh."
The greatest <e1>amazement</e1> was caused by the <e2>floats</e2>.,1,"['amazement', 'floats']",The greatest amazement was caused by the floats.
"Treatment of cardiovascular <e1>collapse</e1> from caffeine <e2>overdose</e2> with lidocaine, phenylephrine, and hemodialysis.",1,"['collapse', 'overdose']","Treatment of cardiovascular collapse from caffeine overdose with lidocaine, phenylephrine, and hemodialysis."
"To date, all <e1>outbreaks</e1> of the highly pathogenic form of avian influenza have been caused by <e2>viruses</e2> of the H5 and H7 subtypes.",1,"['outbreaks', 'viruses']","To date, all outbreaks of the highly pathogenic form of avian influenza have been caused by viruses of the H5 and H7 subtypes."
Wes Anderson has made one classic comedy(The Royal Tenenbaums) fueled by the <e1>tension</e1> from the characters' <e2>longings</e2> to burst out of the trappings in which they are framed.,1,"['tension', 'longings']",Wes Anderson has made one classic comedy(The Royal Tenenbaums) fueled by the tension from the characters' longings to burst out of the trappings in which they are framed.
"In general, the greatest hypocalcemic effect was achieved by those liposomal <e1>preparations</e1> that resulted in the most sustained <e2>increase</e2> of L-hCT and F-hCT in plasma.",0,"['preparations', 'increase']","In general, the greatest hypocalcemic effect was achieved by those liposomal preparations that resulted in the most sustained increase of L-hCT and F-hCT in plasma."
<e1>Poverty</e1> is caused by <e2>overpopulation</e2>.,1,"['Poverty', 'overpopulation']",Poverty is caused by overpopulation.
The economic <e1>setbacks</e1> of 1893 had created <e2>unemployment</e2> and poverty which caused migration in search of new opportunities.,0,"['setbacks', 'unemployment']",The economic setbacks of 1893 had created unemployment and poverty which caused migration in search of new opportunities.
The <e1>software</e1> caused a pretty good <e2>drain</e2> on the CPU for some reason.,0,"['software', 'drain']",The software caused a pretty good drain on the CPU for some reason.
The <e1>harm</e1> has been caused by the invitation <e2>system</e2>.,1,"['harm', 'system']",The harm has been caused by the invitation system.
Alfred Nobel created his <e1>fortune</e1> from the <e2>selling</e2> of explosives that utilized nitroglycerin.,1,"['fortune', 'selling']",Alfred Nobel created his fortune from the selling of explosives that utilized nitroglycerin.
Proper washing and skin care can help to remove <e1>bacteria</e1> and oils which cause <e2>acne</e2>.,0,"['bacteria', 'acne']",Proper washing and skin care can help to remove bacteria and oils which cause acne.
The <e1>lack</e1> of stability caused a strong <e2>reliance</e2> on the colonizers.,0,"['lack', 'reliance']",The lack of stability caused a strong reliance on the colonizers.
"The <e1>eruptions</e1> are caused by <e2>tectonic forces</e2> or by the compaction of sediments at the deltas of large rivers, such as the Mississippi.",1,"['eruptions', 'tectonic forces']","The eruptions are caused by tectonic forces or by the compaction of sediments at the deltas of large rivers, such as the Mississippi."
Lenin and the other leaders of the Soviet Union set about repairing the <e1>damage</e1> caused by the revolution and the civil <e2>war</e2>.,1,"['damage', 'war']",Lenin and the other leaders of the Soviet Union set about repairing the damage caused by the revolution and the civil war.
"The <e1>reaction</e1> from the international <e2>press</e2>, which I am sure you here in Tokyo have noticed, has been very wide and detailed.",1,"['reaction', 'press']","The reaction from the international press, which I am sure you here in Tokyo have noticed, has been very wide and detailed."
"When the first model sank in August 1991, the <e1>crash</e1> caused a <e2>seismic event</e2> registering 3.0 on the Richter scale, and left nothing but a pile of debris at 220m of depth.",0,"['crash', 'seismic event']","When the first model sank in August 1991, the crash caused a seismic event registering 3.0 on the Richter scale, and left nothing but a pile of debris at 220m of depth."
"For example, driving recklessly and causing an auto <e1>accident</e1> that result in the <e2>death</e2> of another driver or passenger could be qualified as manslaughter.",0,"['accident', 'death']","For example, driving recklessly and causing an auto accident that result in the death of another driver or passenger could be qualified as manslaughter."
That coupled with the <e1>death</e1> and destruction caused by the <e2>storm</e2> was a very traumatic experience for these residents.,1,"['death', 'storm']",That coupled with the death and destruction caused by the storm was a very traumatic experience for these residents.
The <e1>infection</e1> came from a <e2>wound</e2>.,1,"['infection', 'wound']",The infection came from a wound.
The emission of electromagnetic <e1>radiation</e1> from <e2>cell phones</e2> continues to become a growing concern.,1,"['radiation', 'cell phones']",The emission of electromagnetic radiation from cell phones continues to become a growing concern.
Sumatera (Yagasu) made a <e1>profit</e1> from the <e2>selling</e2> of women groups' handicrafts activities.,1,"['profit', 'selling']",Sumatera (Yagasu) made a profit from the selling of women groups' handicrafts activities.
"<e1>Frustrations</e1>, threats, and conflicts cause <e2>stress</e2>.",0,"['Frustrations', 'stress']","Frustrations, threats, and conflicts cause stress."
"Cyber squatter- A person who buys domain names, and holds them with the intent of making a <e1>profit</e1> from the <e2>selling</e2> of the domain name.",1,"['profit', 'selling']","Cyber squatter- A person who buys domain names, and holds them with the intent of making a profit from the selling of the domain name."
"The muscular <e1>dystrophies</e1> are caused by genetic <e2>defects</e2>, which means they are inherited at birth.",1,"['dystrophies', 'defects']","The muscular dystrophies are caused by genetic defects, which means they are inherited at birth."
"In a two-mirror telescope equipped with an active optics system usually M2 is used to correct the <e1>aberrations</e1> originated by optical <e2>reasons</e2>, i.e. defocus and coma.",1,"['aberrations', 'reasons']","In a two-mirror telescope equipped with an active optics system usually M2 is used to correct the aberrations originated by optical reasons, i.e. defocus and coma."
"The <e1>addition</e1> of water to the tank caused a runaway chemical <e2>reaction</e2>, resulting in a rapid rise in pressure and temperature.",0,"['addition', 'reaction']","The addition of water to the tank caused a runaway chemical reaction, resulting in a rapid rise in pressure and temperature."
"Snails and <e1>slugs</e1> cause <e2>damage</e2> to seedlings, flowers, vegetables and shrubs.",0,"['slugs', 'damage']","Snails and slugs cause damage to seedlings, flowers, vegetables and shrubs."
The <e1>snowstorm</e1> caused a major <e2>catastrophe</e2> on the West Virginia Turnpike.,0,"['snowstorm', 'catastrophe']",The snowstorm caused a major catastrophe on the West Virginia Turnpike.
<e1>Glaucoma</e1> is one of the leading causes for <e2>blindness</e2> and currently about 90 million patients worldwide are affected by the disease.,0,"['Glaucoma', 'blindness']",Glaucoma is one of the leading causes for blindness and currently about 90 million patients worldwide are affected by the disease.
There are everyday actions that can help prevent the spread of <e1>germs</e1> that cause respiratory illnesses like <e2>influenza</e2>.,0,"['germs', 'influenza']",There are everyday actions that can help prevent the spread of germs that cause respiratory illnesses like influenza.
The <e1>outbreak</e1> was caused by the live polio <e2>virus</e2> that is used in vaccines given orally the preferred method in developing countries because it is cheaper and doesn't require medical training to dispense.,1,"['outbreak', 'virus']",The outbreak was caused by the live polio virus that is used in vaccines given orally the preferred method in developing countries because it is cheaper and doesn't require medical training to dispense.
"These <e1>drugs</e1> also cause headaches and <e2>nausea</e2>, affect your internal organs and raise your bad cholesterol.",0,"['drugs', 'nausea']","These drugs also cause headaches and nausea, affect your internal organs and raise your bad cholesterol."
Well I know quite a few people who get <e1>dissatisfaction</e1> from <e2>laughing</e2> at retards.,1,"['dissatisfaction', 'laughing']",Well I know quite a few people who get dissatisfaction from laughing at retards.
<e1>Immigrants</e1> accounted for more than half of Britain's <e2>population</e2> growth in recent years.,0,"['Immigrants', 'population']",Immigrants accounted for more than half of Britain's population growth in recent years.
Iraqi soldiers inspect the <e1>damage</e1> after the <e2>explosion</e2> in a school in Baghdad.,1,"['damage', 'explosion']",Iraqi soldiers inspect the damage after the explosion in a school in Baghdad.
The broker is entitled to <e1>commission</e1> from the <e2>selling</e2> of your property.,1,"['commission', 'selling']",The broker is entitled to commission from the selling of your property.
Parental pressures of <e1>unemployment</e1> and poverty lead to drug abuse and <e2>alcoholism</e2> or stress and depression which have a profound effect on children.,0,"['unemployment', 'alcoholism']",Parental pressures of unemployment and poverty lead to drug abuse and alcoholism or stress and depression which have a profound effect on children.
The <e1>magnetic field</e1> is generated by an electric <e2>current</e2> circulating in the star's interior.,1,"['magnetic field', 'current']",The magnetic field is generated by an electric current circulating in the star's interior.
The <e1>species</e1> makes a squelching <e2>noise</e2>.,0,"['species', 'noise']",The species makes a squelching noise.
"The political <e1>unity</e1> of the Iroquois was the source of their <e2>power</e2>, but it was by no means perfect.",0,"['unity', 'power']","The political unity of the Iroquois was the source of their power, but it was by no means perfect."
Here are the news reports and photographs of the <e1>devastations</e1> caused by the <e2>storm</e2>.,1,"['devastations', 'storm']",Here are the news reports and photographs of the devastations caused by the storm.
The <e1>movement</e1> of the flag on the surface of the moon was caused by the <e2>vaccum</e2>.,1,"['movement', 'vaccum']",The movement of the flag on the surface of the moon was caused by the vaccum.
"Propionibacteria acnes, or P. acnes, are the <e1>bacteria</e1> responsible for acne <e2>breakouts</e2>.",0,"['bacteria', 'breakouts']","Propionibacteria acnes, or P. acnes, are the bacteria responsible for acne breakouts."
Oil <e1>extraction</e1> in the Amazon has already caused the <e2>extinction</e2> of the Tetete and Zaparo nationalities and continues to threaten indigenous peoples.,0,"['extraction', 'extinction']",Oil extraction in the Amazon has already caused the extinction of the Tetete and Zaparo nationalities and continues to threaten indigenous peoples.
The 100 MHz RF <e1>signal</e1> for the amplitude modulator was derived from a pulse pattern <e2>generator</e2> (PPG).,1,"['signal', 'generator']",The 100 MHz RF signal for the amplitude modulator was derived from a pulse pattern generator (PPG).
"The first <e1>seismic arrival</e1> from an <e2>earthquake</e2> is the P wave, which is usually relatively low-amplitude.",1,"['seismic arrival', 'earthquake']","The first seismic arrival from an earthquake is the P wave, which is usually relatively low-amplitude."
"These centres, along with appropriate educational and psychosocial interventions, helped children overcome the <e1>trauma</e1> and stress caused by the <e2>earthquake</e2>.",1,"['trauma', 'earthquake']","These centres, along with appropriate educational and psychosocial interventions, helped children overcome the trauma and stress caused by the earthquake."
American skiier Lindsey Vonn denied downhill treble as <e1>fog</e1> caused <e2>cancellation</e2> in Val d'Isere.,0,"['fog', 'cancellation']",American skiier Lindsey Vonn denied downhill treble as fog caused cancellation in Val d'Isere.
The <e1>tsunami</e1> resulted in significant property <e2>damage</e2> but only two fatalities in RS.,0,"['tsunami', 'damage']",The tsunami resulted in significant property damage but only two fatalities in RS.
"By the end of the work day, the <e1>anger</e1> was radiating from the <e2>city</e2>.",1,"['anger', 'city']","By the end of the work day, the anger was radiating from the city."
"In view of the terrible <e1>destruction</e1> that was caused by the flood <e2>waves</e2>, we have to fear that a number of Germans, clearly in the three-digit numbers, will be among the dead.",1,"['destruction', 'waves']","In view of the terrible destruction that was caused by the flood waves, we have to fear that a number of Germans, clearly in the three-digit numbers, will be among the dead."
It's hell in the hospitals where the amputees's <e1>screaming</e1> after the <e2>lapse</e2> of morphine is heard all the time.,1,"['screaming', 'lapse']",It's hell in the hospitals where the amputees's screaming after the lapse of morphine is heard all the time.
Scientists discovered that these <e1>drugs</e1> were related to heart valve <e2>disease</e2>.,0,"['drugs', 'disease']",Scientists discovered that these drugs were related to heart valve disease.
The <e1>criminals</e1> that caused the <e2>fire</e2> illegally entered our country.,0,"['criminals', 'fire']",The criminals that caused the fire illegally entered our country.
"A jack-knifed <e1>lorry</e1> caused <e2>delays</e2> on the A27 eastbound between Havant, Hampshire, and Chichester, West Sussex.",0,"['lorry', 'delays']","A jack-knifed lorry caused delays on the A27 eastbound between Havant, Hampshire, and Chichester, West Sussex."
"<e1>Viruses</e1> that cause respiratory <e2>illness</e2> typically are capable of causing a range of clinical manifestations, and asymptomatic infections are possible.",0,"['Viruses', 'illness']","Viruses that cause respiratory illness typically are capable of causing a range of clinical manifestations, and asymptomatic infections are possible."
"92% of the CO2 <e1>emissions</e1> are caused by the <e2>lorries</e2>, but this is not fair so a different distribution method is needed.",1,"['emissions', 'lorries']","92% of the CO2 emissions are caused by the lorries, but this is not fair so a different distribution method is needed."
"Widely previously interpreted as precursory activity to the 1906 earthquake, they have been found to have a strong seasonal pattern and have been postulated to be due to large seasonal sediment loads in coastal bays that overlie faults as a result of the <e1>erosion</e1> caused by <e2>hydraulic mining</e2> in the later years of the California Gold Rush.",1,"['erosion', 'hydraulic mining']","Widely previously interpreted as precursory activity to the 1906 earthquake, they have been found to have a strong seasonal pattern and have been postulated to be due to large seasonal sediment loads in coastal bays that overlie faults as a result of the erosion caused by hydraulic mining in the later years of the California Gold Rush."
"A <e1>shortage</e1> of folate cause megaloblastic <e2>anemia</e2>, where red blood cells are large and pale.",0,"['shortage', 'anemia']","A shortage of folate cause megaloblastic anemia, where red blood cells are large and pale."
Rains and melting <e1>snow</e1> lead to Genesee County's biggest sewage <e2>spill</e2> of the year.,0,"['snow', 'spill']",Rains and melting snow lead to Genesee County's biggest sewage spill of the year.
A stereo <e1>buss</e1> outputs the stereo buss <e2>signal</e2>; a record buss outputs the record buss signal.,0,"['buss', 'signal']",A stereo buss outputs the stereo buss signal; a record buss outputs the record buss signal.
"Marital breakdown is often attributed to unresolved <e1>grief</e1> from infertility, <e2>miscarriage</e2>, and the loss of a child.",1,"['grief', 'miscarriage']","Marital breakdown is often attributed to unresolved grief from infertility, miscarriage, and the loss of a child."
"In addition, a brief <e1>biography</e1> establishing her <e2>credentials</e2> was included at the end of the report.",0,"['biography', 'credentials']","In addition, a brief biography establishing her credentials was included at the end of the report."
"In addition, soil and river systems have been contaminated by the harsh chemicals used in cocaine production and the air has been polluted by the <e1>smoke</e1> caused by the <e2>burning</e2> of jungle and forest for coca bush cultivation.",1,"['smoke', 'burning']","In addition, soil and river systems have been contaminated by the harsh chemicals used in cocaine production and the air has been polluted by the smoke caused by the burning of jungle and forest for coca bush cultivation."
"The <e1>recession</e1> caused by the <e2>stock bubble</e2> was relatively mild, but so was the recovery.",1,"['recession', 'stock bubble']","The recession caused by the stock bubble was relatively mild, but so was the recovery."
"In the Senate, the <e1>sizzle</e1> comes from an issue ad <e2>bill</e2> from Dem Sen. Jon Erpenbach.",1,"['sizzle', 'bill']","In the Senate, the sizzle comes from an issue ad bill from Dem Sen. Jon Erpenbach."
"Cali, Colombia, for their series of articles on the <e1>emergency</e1> caused by a <e2>landslide</e2> on the highway leading to the coast.",1,"['emergency', 'landslide']","Cali, Colombia, for their series of articles on the emergency caused by a landslide on the highway leading to the coast."
The financial <e1>losses</e1> caused by the <e2>earthquake</e2> were estimated at $7 million.,1,"['losses', 'earthquake']",The financial losses caused by the earthquake were estimated at $7 million.
The December 26th <e1>tsunami</e1> <e2>disaster</e2> is an example of a tsunami which was triggered by an earthquake.,0,"['tsunami', 'disaster']",The December 26th tsunami disaster is an example of a tsunami which was triggered by an earthquake.
"The <e1>violence</e1> resulted in the <e2>death</e2> of police ""capo"" Filippo Raciti, which caused widespread soul-searching and a week-long suspension of Italian football.",0,"['violence', 'death']","The violence resulted in the death of police ""capo"" Filippo Raciti, which caused widespread soul-searching and a week-long suspension of Italian football."
"<e1>Discomfort</e1> from <e2>braces</e2> is similar to that of working out at the gym - the first few days you know you' done something different, but then the body adapts and the discomfort disappears.",1,"['Discomfort', 'braces']","Discomfort from braces is similar to that of working out at the gym - the first few days you know you' done something different, but then the body adapts and the discomfort disappears."
"Because the <e1>fire</e1> was caused by <e2>fireworks</e2>, costs associated with suppressing the fire were also applied.",1,"['fire', 'fireworks']","Because the fire was caused by fireworks, costs associated with suppressing the fire were also applied."
The Titan heats the dermis to cause collagen contraction while ensuring <e1>preservation</e1> the epidermis through continuous <e2>cooling</e2>.,1,"['preservation', 'cooling']",The Titan heats the dermis to cause collagen contraction while ensuring preservation the epidermis through continuous cooling.
The spiral <e1>light</e1> was caused by the <e2>missile</e2>.,1,"['light', 'missile']",The spiral light was caused by the missile.
One of these papers which was published in the journal Climate Research turned out to be so badly flawed that the <e1>scandal</e1> resulted in the <e2>resignation</e2> of the editor-in-chief.,0,"['scandal', 'resignation']",One of these papers which was published in the journal Climate Research turned out to be so badly flawed that the scandal resulted in the resignation of the editor-in-chief.
"<e1>Bed sores</e1> (also known as: pressure sores, decubitus ulcers or pressure ulcers) are caused by <e2>pressure</e2>, which cuts off blood flow to parts of the body.",1,"['Bed sores', 'pressure']","Bed sores (also known as: pressure sores, decubitus ulcers or pressure ulcers) are caused by pressure, which cuts off blood flow to parts of the body."
The <e1>presentation</e1> generated <e2>debate</e2> and there was general discussion on how journalists can better equip themselves to handle the challenges.,0,"['presentation', 'debate']",The presentation generated debate and there was general discussion on how journalists can better equip themselves to handle the challenges.
"On my backpacking trip, the <e1>insoles</e1> caused a hot <e2>spot</e2> on the left side of my right heel and a blister on the right side of my left heel.",0,"['insoles', 'spot']","On my backpacking trip, the insoles caused a hot spot on the left side of my right heel and a blister on the right side of my left heel."
<e1>Cities</e1> produce surprisingly low carbon <e2>emissions</e2> per capita.,0,"['Cities', 'emissions']",Cities produce surprisingly low carbon emissions per capita.
"Excluding the current <e1>outbreaks</e1> caused by the H5N1 <e2>virus</e2>, only 24 outbreaks of highly pathogenic avian influenza have been recorded worldwide since 1959.",1,"['outbreaks', 'virus']","Excluding the current outbreaks caused by the H5N1 virus, only 24 outbreaks of highly pathogenic avian influenza have been recorded worldwide since 1959."
<e1>Alternators</e1> generate <e2>electricity</e2> by the same principle as DC generators.,1,"['Alternators', 'electricity']",Alternators generate electricity by the same principle as DC generators.
Many of the 550 <e1>deaths</e1> are directly and intentionally caused by the <e2>physician</e2> but not reported as euthanasia because they lacked consent.,1,"['deaths', 'physician']",Many of the 550 deaths are directly and intentionally caused by the physician but not reported as euthanasia because they lacked consent.
"<e1>Smoke</e1> from wood <e2>fires</e2> in Tutbury Castle in Nottingham was considered unendurable by Eleanor of Aquitaine, wife of Henry II, causing her to move out in 1157.",1,"['Smoke', 'fires']","Smoke from wood fires in Tutbury Castle in Nottingham was considered unendurable by Eleanor of Aquitaine, wife of Henry II, causing her to move out in 1157."
The <e1>increase</e1> is caused by the <e2>absorption</e2> of UV radiation by the oxygen and ozone.,1,"['increase', 'absorption']",The increase is caused by the absorption of UV radiation by the oxygen and ozone.
Take medicine to reduce sneezing and <e1>coughing</e1> from <e2>allergies</e2>.,1,"['coughing', 'allergies']",Take medicine to reduce sneezing and coughing from allergies.
Generally it appears that most of the <e1>damage</e1> was caused by the winds and the rough <e2>seas</e2>.,1,"['damage', 'seas']",Generally it appears that most of the damage was caused by the winds and the rough seas.
World practices have shown that often local authorities are quicker to respond to the natural <e1>disasters</e1> caused by the climate <e2>change</e2>.,1,"['disasters', 'change']",World practices have shown that often local authorities are quicker to respond to the natural disasters caused by the climate change.
The funds raised through this appeal have a direct impact on the people affected by the severe <e1>devastations</e1> caused by the <e2>storms</e2>.,1,"['devastations', 'storms']",The funds raised through this appeal have a direct impact on the people affected by the severe devastations caused by the storms.
<e1>Outbreaks</e1> caused by the oral vaccine's live <e2>virus</e2> have happened before.,1,"['Outbreaks', 'virus']",Outbreaks caused by the oral vaccine's live virus have happened before.
The <e1>compromise</e1> resolved the crisis through a series of secret <e2>negotiations</e2> involving Republican and Democratic politicians and various interest groups.,1,"['compromise', 'negotiations']",The compromise resolved the crisis through a series of secret negotiations involving Republican and Democratic politicians and various interest groups.
"So solar thermal power generation works essentially the same as generation from fossil fuels except that instead of using steam produced from the combustion of fossil fuels, the <e1>steam</e1> is produced by the <e2>heat</e2> collected from sunlight.",1,"['steam', 'heat']","So solar thermal power generation works essentially the same as generation from fossil fuels except that instead of using steam produced from the combustion of fossil fuels, the steam is produced by the heat collected from sunlight."
<e1>Autonomic imbalance</e1> is one of the multifactorial causes of essential <e2>hypertension</e2> currently.,0,"['Autonomic imbalance', 'hypertension']",Autonomic imbalance is one of the multifactorial causes of essential hypertension currently.
"As I move closer to the kitchen, the steady <e1>hum</e1> of the <e2>refrigerator</e2> grows stronger.",1,"['hum', 'refrigerator']","As I move closer to the kitchen, the steady hum of the refrigerator grows stronger."
Fatty <e1>acid</e1> and phospholipid chlorohydrins cause cell stress and endothelial <e2>adhesion</e2>.,0,"['acid', 'adhesion']",Fatty acid and phospholipid chlorohydrins cause cell stress and endothelial adhesion.
The new <e1>cigarettes</e1> cause headaches and <e2>nausea</e2> and contain dangerous chemicals.,0,"['cigarettes', 'nausea']",The new cigarettes cause headaches and nausea and contain dangerous chemicals.
"On the hour, the <e1>clock</e1> plays a <e2>melody</e2> with motion.",0,"['clock', 'melody']","On the hour, the clock plays a melody with motion."
Nurses' <e1>militancy</e1> stemmed from two different kinds of <e2>experiences</e2>.,1,"['militancy', 'experiences']",Nurses' militancy stemmed from two different kinds of experiences.
The <e1>pollution</e1> from animal <e2>factories</e2> is also destroying parts of the world's oceans.,1,"['pollution', 'factories']",The pollution from animal factories is also destroying parts of the world's oceans.
The NNT and NNH are useful indices to describe the trade-off between the benefit and the <e1>harm</e1> produced by a new <e2>treatment</e2>.,1,"['harm', 'treatment']",The NNT and NNH are useful indices to describe the trade-off between the benefit and the harm produced by a new treatment.
<e1>Acne</e1> is caused by <e2>clogging</e2> of sebaceous (oil producing) glands on the skin.,1,"['Acne', 'clogging']",Acne is caused by clogging of sebaceous (oil producing) glands on the skin.
"No water enters the inside of the dishwasher, and the <e1>motor</e1> makes a <e2>sound</e2> as if under strain.",0,"['motor', 'sound']","No water enters the inside of the dishwasher, and the motor makes a sound as if under strain."
"The <e1>fluctuations</e1> are caused by state and federal <e2>taxes</e2>, distance from refineries to filling stations and environmental laws.",1,"['fluctuations', 'taxes']","The fluctuations are caused by state and federal taxes, distance from refineries to filling stations and environmental laws."
<e1>Rabies</e1> is caused by a <e2>virus</e2> that is usually contracted through the saliva of an infected animal.,1,"['Rabies', 'virus']",Rabies is caused by a virus that is usually contracted through the saliva of an infected animal.
An <e1>accident</e1> has been caused by the <e2>fog</e2>.,1,"['accident', 'fog']",An accident has been caused by the fog.
The <e1>injury</e1> resulted in numerous <e2>operations</e2> to save his eyesight.,0,"['injury', 'operations']",The injury resulted in numerous operations to save his eyesight.
We address the longer-term budget <e1>imbalance</e1> that has been caused by the <e2>tax cuts</e2>.,1,"['imbalance', 'tax cuts']",We address the longer-term budget imbalance that has been caused by the tax cuts.
"In North America, about 58 percent of the <e1>wildfires</e1> are caused by <e2>humans</e2>.",1,"['wildfires', 'humans']","In North America, about 58 percent of the wildfires are caused by humans."
Make sure the child takes lots of fluids in spite of the oral discomfort to prevent high <e1>fever</e1> from <e2>dehydration</e2>.,1,"['fever', 'dehydration']",Make sure the child takes lots of fluids in spite of the oral discomfort to prevent high fever from dehydration.
A rare and incurable congenital <e1>disease</e1> which causes <e2>blindness</e2> has been successfully treated for the first time using gene therapy.,0,"['disease', 'blindness']",A rare and incurable congenital disease which causes blindness has been successfully treated for the first time using gene therapy.
"As I pulled unit apart the small fan on top of light was caked with dust, the <e1>heat</e1> caused a little <e2>discoloration</e2> on the difusing lense.",0,"['heat', 'discoloration']","As I pulled unit apart the small fan on top of light was caked with dust, the heat caused a little discoloration on the difusing lense."
